candidate_term_id	source_en	target_id_ID	context	note
R011-B007-TERM-0001	case study	studi kasus	section title	Natural academic Indonesian.
R011-B007-TERM-0002	malaria vaccine	vaksin malaria	clinical study	Keep PfSPZ as an unchanged proper name. The LaTeX index alias retains source sort key malaria vaccine while displaying vaksin malaria.
R011-B007-TERM-0003	variability within data	variabilitas dalam data	subsection title	Extends admitted variability -> variabilitas.
R011-B007-TERM-0004	drug-sensitive strain	galur yang sensitif terhadap obat	malaria parasite	Use galur rather than strain in reader prose.
R011-B007-TERM-0005	infection rate	tingkat infeksi	clinical outcome	Use consistently for proportions of infection.
R011-B007-TERM-0006	random noise	derau acak	statistical variation	Reader-facing term; do not confuse with measurement error.
R011-B007-TERM-0007	independence model	model independensi	hypothesis model	Variables remain described as saling independen under existing terminology.
R011-B007-TERM-0008	alternative model	model alternatif	hypothesis model	Paired with model independensi.
R011-B007-TERM-0009	simulation	simulasi	randomization inference	Use menyimulasikan as the verb. The termsub index alias retains source sort key simulation while displaying simulasi.
R011-B007-TERM-0010	randomization	pengacakan	randomization inference	Matches admitted R011-TERM-0062.
R011-B007-TERM-0011	statistical inference	inferensi statistika	field of statistics	Matches the visible translated preface and uses statistika for the discipline.
R011-B007-TERM-0012	model selection	pemilihan model	statistical inference	Natural technical term.
R011-B007-TERM-0013	retrospective observational study	studi observasional retrospektif	Avandia exercise	Extends admitted observational study -> studi observasional.
R011-B007-TERM-0014	relative frequency histogram	histogram frekuensi relatif	Avandia randomization	Keep relative attached to frequency.
R011-B007-TERM-0015	cardiovascular event	kejadian kardiovaskular	Avandia study	Use masalah kardiovaskular where the source says problems; use kejadian for events.
R011-B007-TERM-0016	heart transplant	transplantasi jantung	Stanford study	Use transplantasi for the procedure and receives a transplant -> menerima transplantasi.
R011-B007-TERM-0017	survival time	masa hidup	heart transplant figure	Do not use the raw source variable name survived as a display label.
R011-B007-TERM-0018	null hypothesis	hipotesis nol	randomization exercise	Keep $H_0$ unchanged.
R011-B007-TERM-0019	alternative hypothesis	hipotesis alternatif	randomization exercise	Keep $H_A$ unchanged.
R011-B007-TERM-0020	convincing evidence	bukti meyakinkan	evidence evaluation	Avoid stronger causal wording in the observational Avandia exercise.
